username;Sentiment;content
ChenJoe24698673;Positif;pendapat dari ekonom senior tuch soal kenaikan harga bbm naik itu tidak hanya di indonesia saja lhoo gaess namun arab saudi tuch sudah lebih dulu menaikkan harga bbm nya   bansosharus tepatsasaran 
lumpiarebung12;Netral;ya orang arab mah udah kaya semua bro mau dinaikin harga bbm juga santai  aja hidupnya    bansosharus tepatsasaran 
Hanabimanga;Negatif;mengingat kenaikan harga bbm berdampak langsung pada kenaikan biaya transportasi   bansosharus tepatsasaran 
FriskaDiana19;Positif; bansosharus tepatsasaran  pemberian stimulus kepada kelompok rentan secara ekonomi bisa mengurangi risiko penurunan daya beli masyarakat akibat penyesuaian harga bbm  amp  pengalihan subsidi bbm  red triangle pointed up  
KulunTatag;Positif;pendapat dari ekonom senior tuch soal kenaikan harga bbm naik itu tidak hanya di indonesia saja lhoo gaess namun arab sauudi tuch sudah lebih dulu menaikkan harga bbm nya   bansosharus tepatsasaran 
Ziezieco;Positif;kebijakan penyesesuaian harga bbm bersubsidi merupakan fenomena global sudah banyak negara sudah menaikkan harga bbm  bansosharus tepatsasaran 
vitananas;Positif;ekonom senior faisal basri menilai kebijakan pemerintah menaikkan harga bbm bersubsidi harus bisa dipahami dengan baik  menurutnya  penyesuaian harga minyak merupakan fenomena global    bansosharus tepatsasaran  
ZakiaZivon;Positif;walau pahit  keputusan mengalihkan subsidi bbm harus dilakukan pemerintah guna menyesuaikan dg harga minyak global  bansosharus tepatsasaran    
Garispantul_052;Positif;indonesia bukanlah negara yang pertama menaikkan harga bbm dalam negerinya  arab saudi sudah duluhan  bansosharus tepatsasaran 
borneoism;Positif;aran saudi yg punya kaya minyak mlh naikin harga bbm  karena mereka gak mau bangkrut   bansosharus tepatsasaran 
Arielsilam;Positif;meski pahit  kebijakan penyesuaian harga bbm bersubsidi harus bisa dipahami dengan baik   bansosharus tepatsasaran 
PutraPandhu4;Positif;pendapat dari ekonom senior tuch soal kenaikan harga bbm naik itu tidak hanya di indonesia saja lhoo gaess namun arab saudi tuch sudah lebih dulu menaikkan harga bbm nya   bansosharus tepatsasaran 
nor_syafika95;Positif;arab saudi yang notabene adalah sebuah negara produsen minyak terbesar saja lebih dahulu menaikan harga bbm nya   kenapa di indonesia selalu ditentang ya     bansosharus tepatsasaran 
mobilmonsterku2;Positif;emang di semua negara masalahnya sama sih harga bbm yg fluktuatif memaksa pemerintah untuk mengalihkan subsidi karena semakin membebani apbn    bansosharus tepatsasaran 
HiuKanzu;Positif;walau pahit  keputusan mengalihkan subsidi bbm harus dilakukan pemerintah guna menyesuaikan dg harga minyak global  bansosharus tepatsasaran    
DinaLaras4t1;Positif; bansosharus tepatsasaran  pemberian stimulus kepada kelompok rentan secara ekonomi bisa mengurangi risiko penurunan daya beli masyarakat akibat penyesuaian harga bbm  amp  pengalihan subsidi bbm  hibiscus  
lumpiasayur2;Positif;klo mau lihat sisi baiknya tuh masih mending bbm kita disubsidi pemerintah  negara lain mah engga bray full tuh harga bbmnya sabar dan tetap bekerja keras ya      bansosharus tepatsasaran 
Dorapayu1;Netral;pemerintah juga memperhatikan masyarakat kelas menengah yang berpotensi menjadi orang miskin baru akibat kenaikan harga bbm    bansosharus tepatsasaran 
GurameBakar13;Positif;rencananya  bantalan sosial sebesar rp   t akan diberikan sebagai dampak kenaikan harga bbm yang terbagi untuk blt bbm rp     t  bantuan subsidi upah rp    t  dan subsidi transportasi angkutan umum rp     t  bansosharus tepatsasaran 
Emakya2;Negatif;kenaikan harga bbm berdampak langsung pada kenaikan harga harga komoditas lainnya   bansosharus tepatsasaran 
btss__;Positif;ketua dpr ri puan maharani meminta pemerintah untuk segera mencairkan bantuan sosial  bansos  sebagai kompensasi dari kenaikan harga bbm   bansosharus tepatsasaran 
Xz427;Positif; bansosharus tepatsasaran  nyatanya arab saudi lebih dulu naikan harga bbm dari pada indonesia 
janggut_kece;Positif;penyesuaian harga minyak merupakan fenomena global dan hampir semua negara  termasuk produsen besar seperti arab saudi  sudah menaikkan harga bbm    bansosharus tepatsasaran 
Kajamangan;Positif; folded hands  folded hands  meski pahit  kebijakan penyesuaian harga bbm bersubsidi harus bisa dipahami dengan baik   bansosharus tepatsasaran 
Berbranded1;Positif;hampir semua negara  termasuk produsen besar seperti arab saudi  sudah menaikkan harga bbm   bansosharus tepatsasaran 
Chibi_LeoLeo;Positif;walau pahit  keputusan mengalihkan subsidi bbm harus dilakukan pemerintah guna menyesuaikan dg harga minyak global  bansosharus tepatsasaran    
DewiXiva;Positif;walau pahit  keputusan mengalihkan subsidi bbm harus dilakukan pemerintah guna menyesuaikan dg harga minyak global  bansosharus tepatsasaran    
__PakRadeN;Positif;arab saudi lebih dulu naikan harga bbm dari pada indonesia   bansosharus tepatsasaran 
hentpicryl4527;Positif;bos arab saudi aja sudah lebih dulu loh naikan harga bbm   kita baru aja     ingat lah bahwa  bansosharus tepatsasaran 
lohwer;Positif;hampir semua negara sudah menaikan harga bbm   bansosharus tepatsasaran 
Celacna;Positif;arab saudi sudah terlebih dahulu menaikkan harga bbm   bansosharus tepatsasaran 
DewiTavisha;Positif;walau pahit  keputusan mengalihkan subsidi bbm harus dilakukan pemerintah guna menyesuaikan dg harga minyak global  bansosharus tepatsasaran    
AliaShafira5;Positif; bansosharus tepatsasaran  pemberian stimulus kepada kelompok rentan secara ekonomi bisa mengurangi risiko penurunan daya beli masyarakat akibat penyesuaian harga bbm  amp  pengalihan subsidi bbm  brown circle  
serenadasi;Positif;arab saudi sudah terlebih dahulu menaikkan harga bbm   bansosharus tepatsasaran 
em_ariyana;Negatif;mengingat kenaikan harga bbm berdampak langsung pada kenaikan biaya transportasi dan berpotensi menaikkan harga komoditas barang lain  bansos untuk rakyat kecil harus segera dicairkan   bansosharus tepatsasaran 
BaskomLurix;Positif;arab saudi lebih dulu naikan harga bbm dari pada indonesia   bansosharus tepatsasaran 
aldousmanga;Positif;arab saudi sudah terlebih dahulu menaikkan harga bbm   bansosharus tepatsasaran 
Than_Chie;Positif;kebijakan penyesuaian harga bbm mutlak harus dilakukan       bansosharus tepatsasaran 
DararingIlham;Negatif; ini yg menggambarkan kenapa kenaikan harga bbm ditolak masyarakat  
pks_medansatria;Negatif;ani   bang  harga bbm naik rhoma   teerrllaalluu      
ssssikecil;Negatif;drpd minta nurunin harga bbm  mending minta nurunin isa almasih  buyar aja idup ini udah 
pks_medansatria;Negatif;gimana mau healing  kalo harga bbm bikin pusing      
jessyeslimit;Negatif;duhh bbm naik harga tiket bus naiknya gila bgt yallahh niat menghemat malah jd sekarat    
Co2micDu5t;Negatif;apa jika bjorka sebenarnya juga bayaran pemerintah buat alihkan isu dari general sambo dan kenaikan harga bbm subsidi    thinking face 
RRIBanten;Negatif;tolak kenaikan harga bbm  serikat buruh akan gelar aksi sebulan penuh   
AbdulAzizlatte;Negatif;sekarang kita tunggu sikap ketua dan anggota  untuk mendesak pemerintah batalkan kenaikan harga bbm  kalau tidak  partainya kita tenggelamkan  
MediaKomando;Netral;pbnu maklumi keputusan pemerintah menaikkan harga bbm 
RRIBanten;Negatif;ikatan mahasiswa muhammadiyah ancam terus demo sampai pemerintah turunkan harga bbm   
wagesyahputra;Negatif;cara nurunin harga bbm ada gak  
GenMediaNetwork;Negatif;harga bahan bakar minyak  bbm  jenis pertalite berpotensi mengalami penurunan seiring turunnya harga minyak dunia   
menolakganteng_;Negatif;kata si itu    bbm bukan naik harganya tapi lagi penyesuaian harga   eyy gilaaww   rolling on the floor laughing 
msetiawirawan;Netral; gimana  sekarang udah turun harga bbm 
mindlipstick;Negatif;  emak  yg kesal ga bs jalan krn ada demo fix itu emak  yg menyalahi fitrahnya emak  lurus itu emak  yg kesal marah krn kendaraannya ga bs jalan akibat buat beli bbm jd makin susah makin meradang krn harga sembako ikut an naik gegara bbm naik istri kalian emak  yg mana 
BakoelSegoNo1;Positif; kesimpulannya  harga bbm itu tidak mengikuti harga pasar   tetapi mengikuti apa kata pemerintah 
giginpraginanto;Negatif;orang ini juga pernah bilang   ikn harga mati   tampaknya yang dia maksud kenaikan bbm harga mati  
y_yumnan;Negatif; itulah bukti bahwa kenaikan harga bbm membuat rakyat semakin susah  itu pula dasar mengapa mahasiswa  buruh dan elemen rakyat lainnya turun kejalan menentang kenaikan harga bbm
pakkabak;Negatif; ujung aksi ini kalo berhasil   harga bbm turun lagi  bisa lebih sering healing yang punya mobil  negara tambah utang  ya ga apa   kan bakal bayar utangnya juga para pelajar dan maahasiswa nantinya kaloo bisa dapet kerjaan 
infokom_buruh;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september 
dzulfian;Positif;  kebijakan kontradiktif  kalau mau mengurangi konsumsi bbm masyarakat  mestinya harga dinaikkan terus  dgn sendirinya masyarakat akan menyesuaikan pemakaiannya  eman  pakainya  kalau berbasis kuota  yg ada malah penyelewengan  amp  desain kebijakannya ribet  
amirkusbi1;Positif; tak masalah harga bbm naik tuk mengurangi hutang negara lagian daya beli harga bbm masyarakat indonesia dibandingkan negara lain sangat murah yg korupsi tembak mati aja
Padasukacimahi;Negatif;hari ini banget  hayu wargi cimahi kita berkumpul suarakan suara rakyat dalam aksi damai flashmob pks menolak kenaikan harga bbm  sampai jumpa              
Padasukacimahi;Negatif;hari ini banget  hayu wargi cimahi kita berkumpul suarakan suara rakyat dalam aksi damai flashmob pks menolak kenaikan harga bbm  sampai jumpa              
fahriclip;Negatif;menyapa pak ahok yang diem  bae selama musim kenaikan harga bbm 
Di05457522Die;Negatif; semua bisa kena imbas ke naikan harga bbm dan bahan pangan  hanya pejabat dan karyawan bumn saja yang menerima kenaikan gaji  
anitaoctafiani1;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september 
Zanzia6;Netral; pemerintah juga harusnya memantau kenaikan harga yg terjadi akibat imbas kenaikan bbm dong cukup nggak bansos yg     ribu sebulan itu 
RakyatKetjiL21;Negatif;  nah gini nech  kalo main sepedanya kurang jauh  jadi ruang lingkupnya hanya terkotak  dgn kelompoknya saja dan gak mau membaur    backhand index pointing right coba cuk lu pelajari lagi  dampak domino atas kenaikkan harga bbm tsb   backhand index pointing right kata lu  negara hampir bangkrut   lalu buat apa ikn  
muf76w;Negatif; parah neh  nanti kalo tuntutan pendemo berhasil menurunkan harga bbm  polisi dan keluarganya juga ikut menikmati  anjay 
narkobatglkota;Positif;bantuan sosial bagi para pengemudi ojek online   untuk membantu meringankan beban bagi warga yang bekerja disektor transportasi akibat adanya kenaikan harga bbm  polres tegal kota membagikan bantuan sosial kepada para pengemudi ojek online    
MMC_IDN2;Negatif;aksi penolakan kenaikan harga bbm  bogor yang sejuk  kini memanas    mmc news   masyarakat bogor yang tergabung dalam forum komunikasi umat islam bersatu  fkuib  yang rabu kemarin    september      menggelar aksi di depan gedung dprd kota bogor     
ronavioleta;Negatif; di tengah gejolak kenaikan harga bbm  erick thohir menyampaikan pegawai bumn akan dinaikkan gajinya  sungguh tindakan yg amoral  ibarat menari di atas penderitaan org lain  bumn  saat ini lebih byk menyedot apbn drpd menyetor keuntungan ke negara    lo  
jangkunk29;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september  
Harian_Jogja;Negatif;harga bbm naik  produksi pertanian lahan pesisir kulonprogo terancam  
KompasTV;Positif;menteri esdm ungkap rencana pembatasan pembelian bbm bersubsidi hingga penurunan harga  
DM_N4BYL;Netral;terkait penyesuaian harga bbm mas mentri bumn erick thohir menyatakan akan mendorong blue print untuk penanggulangannya misal pada moda transportasi publik akan ada kebijakan luas  amp  dalam krn peningkatan penggunaan bbm   
kontenislam_com;Negatif;selain subsidi bengkak  benarkah kenaikan harga bbm imbas kekacauan koordinasi jokowi  ini kata pengamat 
kelanajua;Negatif;  demo minta presiden menurunkan harga bbm ya seperti itu  nutup jalan agar didengar pemerintah jokowi  kalau ide lue itu demo memasak bisalah
Padasukacimahi;Negatif;naiknya harga bbm akan semakin menyulitkan kehidupan masyarakat        
kontenislam_com;Negatif;pdip bela puan maharani tak nangis harga bbm naik  jargon wong cilik diungkit  sekarang bahagia saat rakyat menderita  
donkisot007;Negatif;  si  sok tau dia membandingkan presentasi kenaikan harga bbm tapi gak ngitung kenaikan penghasilan
putucangkiriku;Negatif;  sblm naik bbm juga udh selisih harga antara spbu  amp  pengecer org dagang pasti nyari untunglah 
PKSJATIM;Negatif;persamaan cintaku dengan harga bbm     kamu tau  persamaan cintaku dan harga bbm  yaa  lebih sering naik dari pada turun     kalo versimu  apa persamaannya lur  beaming face with smiling eyes          
MickolaChannel;Negatif;bbm naik   ribu demo ga berenti  harga rokok naek diam aj pemerintah mau sita aset koruptor meneng aj mana suaranya para mahasiswa neh 
Hery15221101;Netral; seharusnya pemerintah membangun spbu disetiap kecamatan daerah pedalaman kerena disana harga bbm cukup mahal ditempat saya aja pertalix      sampai       liter karena tempat saya tidak ada spbu
kontenislam_com;Negatif;harga bbm naik  erick thohir pastikan gaji karyawan bumn juga naik 
donkisot007;Negatif;  hei kampret jaman  sby   kali menaikkan harga bbm tapi   kali menaikkan  gaji pns   jaman jokowi    kali menaikkan harga bbm tapi kenaikan gaji asn cuman   kali  udah harganya naik belinya ngantri pulak  gimana rakyat gak menjerit   sompret  
AbdMuisMMuis1;Negatif; harga bahan pokok tidak naik hanya penyesuaian harga dari bbm
Iyan_KH;Negatif;kelakuan media mainstream yg melakukan blackout berita demo tolak kenaikan harga bbm itu memalukan 
wahananewsdotco;Negatif;serikat buruh minta kepala daerah desak dpr bentuk pansus bbm  
KspiCitu;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september  
Veen22;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september 
ummufadhil11;Netral;  bkn begitu  coba dipikir  negeri kita kaya sda minyak bumi  amp  batu bara  knp harga bbm mahal  knp pendapatan utama negara malah dr pajak bkn kekayaan sda itu sendiri  drpd mencabut subsidi yg akan menimbulkan efek domino  knp ga mengambil alih kekayaan sda dr tgn korporasi 
AchFath;Negatif;   saya sabtu pagi ini insya allah ikut aksi di per   an jalan baru   cikeas brsm pengurus  kader  simpatisan  pks  amp  masy utk menolak kenaikan harga bbm  menolak kebijakan yg menyengsarakan rakyat  kebijakan yg menganggap subsidi kpd rakyat adl bebani apbn  pensiunan adl beban 
soegengjwahaiy;Netral; tas harga segitu pasti isinye buqan bbm toh  
Fauzi_21_;Netral; sayang betul ya  sequel of sambo teralihkan dgn kenaikan harga bbm
PKS_KBB;Negatif;hari ini pks kbb melakukan aksi flashmob sebagai bentuk menyuarakan ke tidak setuju an kami terhadap sikap pemerintah yang menaikkan harga bbm     
keuangannews_id;Negatif;pelajar stm dan smk gabung demo untuk menolak kenaikan harga bbm  aktivis malari  menambah amunisi lawan kezaliman  
Zyanpatra;Negatif;di saat masyarakat sekarat akibat harga bbm  gaji karyawan bumn naik  tak bermoral 
ichsan_itcomm;Positif; alphard dan kendaran bensin mewah lainnya harus dilarang total isi pertalite  begitu juga dengan solar  haram diisi oleh pajero fortuner dan innova diesel   ini bisa dibilang adil  tp bbm kembali ke harga normal sebelum naik       sy dukung kebijakan tsb  
_Adam_Muhammad;Negatif;  om  bersuara ko  dia menolak kenaikan harga bbm beliau kan salah satu kader dari 
tempodotco;Negatif;ikatan mahasiswa muhammadiyah ancam terus demo sampai pemerintah turunkan harga bbm  
tommymarten;Negatif;  kalau anda pintar hitung   yuk ajarin kami barapa sih harga bbm yg dibeli pertamina dan dimana dibeli  kenapa ga beli sama petronas saja  kan jualannya bisa agak murah ron    ayo dijawab  beaming face with smiling eyes 
ArsyadMbt;Netral;daripada sibuk urus harga minyak bbm  mendingan sibuk posting minyak cahaya yg insyaallah hrga terjangkau dan kualitas serta khasiat tdk diragukan lagi  mampu mengobati segala macam penyakit  trmasuk penyakit hati yg sering nyinyir trhadap kehidupan org lain  hrga rp        saja 
KrisyantoOni;Netral;awas  isu kenaikan harga bbm  pengalihan isu sambo vs brigadir j    lt  lt video lengkap kunjungi channel youtube krisyanto yen oni gt  gt    
PemerhatiSosmed;Negatif; cari data pertamina donk  apakah benar harga bbm harusnya segitu  apakah benar rugi 
TauhidYusron;Positif;harga bbm melonjak  anies  tak ada kenaikan tarif angkutan yang dikelola pemprov 
AniLest420;Positif;blt kompensasi kenaikan harga bbm mulai dibagikan di cirebon
eradotid;Negatif;para buruh dan partai buruh akan melakukan aksi penolakn kenaikan harga bbm secacra bergelombang dan bergantian di setiap daerah selama bulan september  
ResorSampang;Positif;bantuan sosial   kapolres sampang akbp arman  s i k    membagikan sembako kepada masyarakat yang terdampak penyesuaian harga bbm 
Najamud37336405;Negatif; pb nu   umat islam indonesia tidak sependapat dengan cara berpikir nu karena saat ini kaum buruh  mahasiswa dan rakyat pada umumnya berjuang untuk tidak terjadi kenaikan harga bbm karena itu akan menyengsarakan rakyat sementara nu menyetujui   prett
aganparfum;Netral;parfum original paling laris di indonesia   hubungi    wa tg sms                 bbm   d    e   
yakult_cholee;Negatif;berani turunin harga bbm baru keren  
Genpi_Co;Negatif;dprd kota malang siap menyampaikan tuntutan kenaikan harga bbm dari mahasiswa apa adanya kepada pemerintah pusat   
hansuryadharma;Netral;  contoh pertanyaan yg tdk mungkin krn tdk diatur uu   seperti  bisakah hasil evaluasi bulanan oleh dirjen esdm ttg harga eceran bbm tertntu dan penugasan yg ditetapkan melalui permen esdm no    thn           thn      dibuka ke publik    mungkin gambaran pertanyaan anda sprt diatas
imanrachmand;Negatif; kenaikan harga bbm   kenaikan gaji karyawan bumn mantabs  upside down face 
ItsMe_RBH;Negatif;    harga bbm di dunia emang lagi tinggi     face with tears of joy  face with tears of joy  face with tears of joy 
Zyanpatra;Positif;banggar dpr harapkan pemerintah ambil   langkah strategis setelah kenaikan harga bbm 
azwar6102;Negatif;kenaikan harga bbm demi kesejahteraan rakyat  logika sesat  
mboells;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september  
MrsRachelIn;Positif;  ga bisa beli bbm pake sepeda aja  era sby ga ada krisis energi  harga bbm dari  rp      jadi rp      naiknya       pada mingkem  itu premium yang ronnya rendah    era jokowi di ganti jadi pertalite yang ronnya tinggi hanya naik      pada kesurupan 
david_son2863;Negatif; gaji karyawan bumn diatas rata  tdk akan kekurangan dgn harga bbm saat ini  keterlaluan kau rick  
daemon_ihsan;Negatif; bukan main dan bukan main main  inilah salah satu prestasi terhebat ahok di  yang sulit ditandingi oleh siapapun juga    tentunya tanpa melupakan kenaikan harga bbm di dalam negeri  meski harga minyak mentah dunia menurun   oya  bagaimana dengan kerugian  
Valdi_cibob;Negatif;pertamina tidak dilibatkan sama sekali dlm proses penentuan harga jual bbm subsidi  seluruhnya dalam kendali negara  banyak rakyat kecewa dgn kenaikan harga bbm  itu sudah pasti  tp ada kekeliruan yg tampaknya sengaja dibiarkan oleh negara sampai saat ini  yg menurut sy brbahaya
aktualofficial;Positif;pemerhati  kenaikan harga bbm momentum kembangkan energi alternatif 
atchinais;Netral;kenaikan harga bahan bakar minyak  bbm  di indonesia menarik perhatian media asing 
RahadiSuprih;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september  
kumpulanSMG;Negatif;harga bbm diprediksi picu lonjakan inflasi   persen 
bengbengdgn;Positif;  nah  klo perlu aku tambahin bang taruhannya  klo sampe bbm ga naik lg  ngadi  emg  jutaan org di timur sana bersyukur harga bbm sama rata  yg di jawa sok paling menderita
niconico_jak;Negatif; tv nasional tahu  diseluruh dunia harga bbm naik  kalau ada demo  sedang pamer kebodohan 
Rijal34993306;Negatif;   face with tears of joy  face with tears of joy  face with tears of joy  makjleb banget maksa banget sampe naikin harga bbm buat cari modal bangun ikn  face with tears of joy  face with tears of joy  face with tears of joy 
Valdi_cibob;Negatif;sudah menjadi resiko buat pertamina menjadi sasaran kemarahan rakyat ketika harga bbm naik  tidak bisa dipungkiri  inilah nasib menjadi bumn di negeri ini  dijadikan sapi perah tapi tdk dipelihara   apakah seluruh rakyat tahu bahwa harga bbm ditentukan oleh negara 
HafsaReborn;Negatif; sejatinya memprivatisasi bbm kemudian menjual belikan bbm kepada rakyat dengan harga mahal pelanggaran terhadap syariat  sungguh kedzaliman yang nyata 
AkhyarAzamta;Negatif;harga bbm naik  aku cuma minta turunin ego dan gengsinya aja
otidtrash;Netral;siap antar jemput walaupun harga bbm naik 
an2adtie;Negatif;maaf tidak semua rakyat susah terima bansos dan bansos lebih banyak di selewengkan drpd uangnya buat bansos harusnya bisa buat menekan harga bbm semua rakyat tenang pak  
zoel711;Negatif;yang substansi pada kenaikan bbm adalah pada tepat atau tidaknya subsidi diberikan kepada penjualan harga bbm tsb  
SuaraMabes;Negatif;massa aksi aliansi barisan bitung melawan  menolak kenaikan harga bbm 
soloposdotcom;Positif;ketum pbnu maklumi pemerintah naikkan harga bbm 
SuaraMabes;Negatif;massa aksi aliansi barisan bitung melawan  menolak kenaikan harga bbm 
sirtiman;Positif;solusi kenaikan harga bbm cari cuan online aja dijamin beres  via 
mogen__;Netral;  biar harga bbm aja yg naek   kbodohanmu jgn
maswawan2906;Negatif;  menolak kenaikan harga bbm itu ya kl beli di spbu ttp bayar harga lama  ga cuma demo  
SuaraMabes;Negatif;massa aksi aliansi barisan bitung melawan  menolak kenaikan harga bbm 
koranbernas_id;Negatif;polri tidak menutup ruang masyarakat berunjuk rasa pasca kenaikan harga bbm 
Kotakmi1;Positif;harga bbm bisa turun  menteri esdm  kalau harga minyak membaik  insya allah   bisnis    artikel populer google berita       
tempodotco;Negatif;tolak kenaikan harga bbm  serikat buruh akan gelar aksi sebulan penuh  
tempodotco;Negatif;demonstrasi kenaikan harga bbm   berikut faktanya selama dua hari  
DanieSasmita;Negatif;  termasuk luh yang di bohongi dengan tidak naiknya harga bbm sampai akhir tahun ini di bohongi ekonomi akan meroket  dibohongi plakat penghargaan ternyata buatan sendiri
didin_asyari;Negatif;kenaikan bbm bikin rakyat sengsara tolak kenaikan harga bbm   
septiyo;Netral;website profesional dengan harga terjangkau di  mulai dari     k  tunggu apa lagi minat hub                bbm di  fbab  b
ShowbizLite;Negatif;bawa senjata tajam saat aksi harga bbm  mahasiswa ini jadi tersangka 
SandyUtamma;Negatif;harga bbm naik  tak hanya bahan bakar minyak kapolres ngawi juga pantau ketersediaan lpg   jurnal ngawi  
Ranisor;Positif;pasca kenaikan harga bbm  pemerintah dalam hal ini kemenaker  menyiapkan bantuan subsidi upah  bsu  bagi para pekerja atau buruh  bsu yang dikucurkan senilai rp   t itu untuk menopang daya beli pekerja di tengah kenaikan harga kebutuhan pokok   gaspol pemulihan ekonomi 
Ranisor;Positif;menteri desa pembangunan daerah tertinggal dan transmigrasi abdul halim iskandar meminta kepala daerah mengawal pemanfaatan dana desa untuk mengendalikan potensi inflasi di desa setelah kenaikan harga bahan bakar minyak  bbm                             
Ndra_Cakil;Negatif; gak punya alasan lain itu selain yg digaungkan  krn minyak dunia turun malah bbm jadi naik harga si dalam negeri 
emirahay82;Negatif; bismillah puisi tentang bbm dalam panggang terik matahari untuk kesekian kali kau naikkan harga bbm lg dg berlindung pd beratnya subsidi
daemon_ihsan;Negatif; kenaikan harga bbm adalah kebijakan yang sangat tidak bijak   kenaikan harga bbm adalah kebijakan yang sesat dan menyesatkan akal sehat 
YanGuning2;Negatif; assalamualaikum wr wb aduh ema ema menjerit harga harga melangit sudah di irit irit tetap aja kejepit minyak turun bbm naik rakyat banyak yang panik dengan harga mencekik kami orang bodoh kalah sama orang cerdik memanipulasi harga  tak peduli kami  tersiksa sebagai rakyat jelata
Ekagud1;Negatif;  bukan bbmnya yg naik tp subsidinya yg dikurangin  jadi harga bbm tetap sama tp disubsidi makanya lebih mursh
Malikme16;Negatif; naiknya harga bbm  masyarakat papua angkat motor 
KurniaSalsabi20;Negatif;kenaikan harga bbm dinilai penuh agenda di balik layar
ksteven98;Positif;aku setuju setuju aja kok kalo harga bbm makin mahal  asalkan senyum kamu tetep murah sama aku
kr1t1kp3d45_pro;Negatif;debat ojol vs tenaga ahli kantor staf kepresidenan terkait kenaikan harga bbm  amp  blt     untung bang  nggak ngundang si ngadalin    beaming face with smiling eyes  grinning face with smiling eyes  face with tears of joy  
WuLo30352978;Negatif;  pas jadi presiden bisa tiap bulan naik terus bbm nya    thn x    bln      x naik harga bbm nya  sekali naik      wes cocok ini  semua rakyat indonesia jadi sultan semua karena amat sangat sejahtera bet   hidup puaan  for presiden  langsung dukung  x perode 
deena_noor;Negatif;aksi penolakan kenaikan harga bbm  bogor yang sejuk  kini memanas   mmc news     lewat 
Kotakmi1;Positif;harga bbm bisa turun  menteri esdm  kalau harga minyak membaik  insya allah   bisnis    artikel populer google berita 
NNdrae;Negatif; ayo kasih opsi batalkan kenaikkan harga bbm atau referendum aceh pisah dr nkri orang  dr propinsi tertinggal macam timor timor ajach sanggup kok  aceh pasti bisa smiling face with heart eyes  smiling face with heart eyes  smiling face with heart eyes 
arinirunnisa;Positif;bantuan subsidi upah dimaksudkan utkk mempertahankan kekuatan membelii pekerja buruh dalam mencukupi keperluan hidupnyaa akibat kenaikan harga bbm  pengalihan subsidi tepat 
HayaKoyumi;Negatif; bbm adalah hajat hidup publik  tidak boleh dijual dengan harga mahal agar seluruh rakyat bisa menjangkau
SINDOnews;Negatif;imbas harga bbm naik  pengguna commuterline melonjak        
anestesiaraje;Negatif;kebijakan bbm bersubsidii disesuaikan beriringan bersamaa harga bbm yngg mengalami kenaikan  pengalihan subsidi tepat 
tangguhniti;Negatif;  kamu membandingkan harga bbm dg rokok  lah rokok itu sebagai parameter apa  punya implikasi apa  nek duwe tolol ora usah dipamer ke 
adi_fuaddi;Negatif;  koruptor hukumannya d sunat bbm selalu naik harga sembako melejit
ilyasibra_;Negatif;harga bbm nyekek bgt yawloh
polsek_dmi_kota;Positif;giat satgas preventif polsek dumai kota dalam rangka antisipasi dampak penyesuaian harga bbm 
polsek_dmi_kota;Positif;giat satgas preemtif polsek dumai kota dalam rangka antisipasi dampak penyesuaian harga bbm 
polsek_dmi_kota;Positif;giat satgas preemtif polsek dumai kota dalam rangka antisipasi dampak penyesuaian harga bbm 
sadamhendraa;Positif;kita harusnya  jgaa dlm penyesuaian harga bbm sebab pemerintah sdhh memperhitungkannya dan pengalihan subsidi tepat sasaran untuk masyarakat yang membutuhkan 
anestyaafida;Positif;dalam penyesuaian harga bbm solusii terbaikk jagaa stabilitas negara  pengalihan subsidi tepat 
bangdoelaje;Negatif; menaikan harga bbm sudah sesuai arahan dari kanjeng ratu kidul
torang_satu;Positif;penyesuaian harga bbm agar subsidi tepat sasaran        
kr1t1kp3d45_pro;Positif;untuk mendukung orang  yg sedang berjuang dgn mengadakan demonstrasi di indonesia terkait harga bbm  saya akan sesegera mungkin  mempublikasikan database mypertamina  
HendiUnpad74;Negatif; dari pada wo sebaiknya pks hitung ulang  kebutuhan bbm di indonesia  berapa produk minyak tiap tahun  berapa harus import  berapa subsidi yg harus diberikan agar harga terjangkau masyarakat  jd bicaralah di parlemen scr ilmiah  diskusikan dg menteri esdm  menteri keuangan 
hackedbyayt15;Negatif;dikarenakan harga bbm  mau naik ratusan supir angkot beralih profesi menjadi boyband
KompasData;Negatif;ulang tahun ke    partai demokrat dirayakan dengan sederhana sebagai bentuk perwujudan solidaritas terhadap kondisi masyarakat yang kian sulit karena kenaikan harga bbm  beberapa waktu lalu    
hariankompas;Negatif;ulang tahun ke    partai demokrat dirayakan dengan sederhana sebagai bentuk perwujudan solidaritas terhadap kondisi masyarakat yang kian sulit karena kenaikan harga bbm  beberapa waktu lalu     
